code,mean_confidence,std_confidence,mean_cell_edit_rate,mean_pattern_change_rate,top_canonical_pattern_id,top_canonical_pattern_prob_all_sites,top_canonical_pattern_prob_top_quartile_sites,num_unique_canonical_patterns
0,0.7673234343528748,0.019623171538114548,0.14704861111111112,0.671875,0,1.0,1.0,1
1,0.9968914985656738,0.0009990251855924726,0.14704861111111112,0.671875,0,1.0,1.0,1
2,0.7518203854560852,0.019425055012106895,0.14704861111111112,0.671875,0,1.0,1.0,1
3,0.9964816570281982,0.001132126315496862,0.14704861111111112,0.671875,0,1.0,1.0,1
4,0.42040833830833435,0.031539011746644974,0.14704861111111112,0.671875,0,1.0,1.0,1
5,0.1767718493938446,0.034491173923015594,0.15600694444444443,0.6837499737739563,0,0.829375,1.0,2
6,0.5456986427307129,0.027665508911013603,0.14704861111111112,0.671875,0,1.0,1.0,1
7,0.9967697262763977,0.0010390676325187087,0.14704861111111112,0.671875,0,1.0,1.0,1
8,0.7216061949729919,0.02051602490246296,0.14704861111111112,0.671875,0,1.0,1.0,1
9,0.7585507035255432,0.019323859363794327,0.14704861111111112,0.671875,0,1.0,1.0,1
10,0.9866851568222046,0.004097059369087219,0.14704861111111112,0.671875,0,1.0,1.0,1
11,0.506125807762146,0.02905653975903988,0.14704861111111112,0.671875,0,1.0,1.0,1
12,0.7670683264732361,0.019246546551585197,0.14704861111111112,0.671875,0,1.0,1.0,1
13,0.5332263112068176,0.028339466080069542,0.14704861111111112,0.671875,0,1.0,1.0,1
14,0.9963406920433044,0.0011793023440986872,0.14704861111111112,0.671875,0,1.0,1.0,1
15,0.7694064378738403,0.0193356741219759,0.14704861111111112,0.671875,0,1.0,1.0,1
