code,mean_confidence,std_confidence,mean_cell_edit_rate,mean_pattern_change_rate,top_canonical_pattern_id,top_canonical_pattern_prob_all_sites,top_canonical_pattern_prob_top_quartile_sites,num_unique_canonical_patterns
0,0.7275583744049072,0.043315909802913666,0.14704861111111112,0.671875,0,1.0,1.0,1
1,0.981899082660675,0.0044418079778552055,0.14704861111111112,0.671875,0,1.0,1.0,1
2,0.7530495524406433,0.0429697223007679,0.14704861111111112,0.671875,0,1.0,1.0,1
3,0.9836891889572144,0.004019313957542181,0.14704861111111112,0.671875,0,1.0,1.0,1
4,0.4881390333175659,0.025325492024421692,0.14704861111111112,0.671875,0,1.0,1.0,1
5,0.30424565076828003,0.007473073434084654,0.14704861111111112,0.671875,0,1.0,1.0,1
6,0.3049374222755432,0.0074951183050870895,0.14704861111111112,0.671875,0,1.0,1.0,1
7,0.9836360812187195,0.004020965192466974,0.14704861111111112,0.671875,0,1.0,1.0,1
8,0.7468006014823914,0.04305282235145569,0.14704861111111112,0.671875,0,1.0,1.0,1
9,0.3876163959503174,0.007688810583204031,0.14704861111111112,0.671875,0,1.0,1.0,1
10,0.9836823344230652,0.004022344946861267,0.14704861111111112,0.671875,0,1.0,1.0,1
11,0.31547436118125916,0.007002702914178371,0.14704861111111112,0.671875,0,1.0,1.0,1
12,0.7544509768486023,0.042928487062454224,0.14704861111111112,0.671875,0,1.0,1.0,1
13,0.7505416870117188,0.04258713498711586,0.14704861111111112,0.671875,0,1.0,1.0,1
14,0.9661802649497986,0.008005361072719097,0.14704861111111112,0.671875,0,1.0,1.0,1
15,0.608381450176239,0.04058128595352173,0.14704861111111112,0.671875,0,1.0,1.0,1
