code,rank,maze_index,center_y,center_x,confidence,original_canonical_pattern_id,decoded_canonical_pattern_id,cell_edit_rate
0,1,6839,6,5,0.8347548246383667,0,0,0.0
0,2,6839,6,4,0.8347548246383667,0,0,0.0
0,3,8938,5,6,0.8347548246383667,2,0,0.1111111111111111
0,4,6105,7,7,0.8347548246383667,0,0,0.0
0,5,6105,7,6,0.8347548246383667,0,0,0.0
0,6,8938,4,6,0.8347548246383667,1,0,0.1111111111111111
0,7,6105,7,5,0.8347548246383667,0,0,0.0
0,8,6105,7,4,0.8347548246383667,0,0,0.0
1,1,8587,6,4,0.990763247013092,1,0,0.1111111111111111
1,2,7573,7,5,0.990763247013092,2,0,0.1111111111111111
1,3,7573,6,5,0.990763247013092,1,0,0.1111111111111111
1,4,7573,6,4,0.990763247013092,2,0,0.1111111111111111
1,5,6211,7,5,0.990763247013092,0,0,0.0
1,6,6211,7,4,0.990763247013092,0,0,0.0
1,7,3156,4,4,0.990763247013092,0,0,0.0
1,8,3156,4,5,0.990763247013092,0,0,0.0
2,1,8587,6,4,0.8547981381416321,1,0,0.1111111111111111
2,2,6839,6,4,0.8547981381416321,0,0,0.0
2,3,6839,7,4,0.8547981381416321,0,0,0.0
2,4,6839,7,5,0.8547981381416321,0,0,0.0
2,5,6839,8,4,0.8547981381416321,0,0,0.0
2,6,6839,8,5,0.8547981381416321,0,0,0.0
2,7,8346,8,4,0.8547981381416321,2,0,0.1111111111111111
2,8,8346,8,5,0.8547981381416321,1,0,0.1111111111111111
3,1,6839,8,4,0.991751492023468,0,0,0.0
3,2,3156,6,4,0.991751492023468,0,0,0.0
3,3,3156,4,7,0.991751492023468,0,0,0.0
3,4,3156,4,8,0.991751492023468,0,0,0.0
3,5,3156,5,4,0.991751492023468,0,0,0.0
3,6,3156,5,5,0.991751492023468,0,0,0.0
3,7,3156,5,6,0.991751492023468,0,0,0.0
3,8,3156,5,7,0.991751492023468,0,0,0.0
4,1,725,8,4,0.570364773273468,0,0,0.0
4,2,3156,6,4,0.570364773273468,0,0,0.0
4,3,3156,6,6,0.570364773273468,0,0,0.0
4,4,3156,6,7,0.570364773273468,0,0,0.0
4,5,3156,6,8,0.570364773273468,0,0,0.0
4,6,3156,7,4,0.570364773273468,0,0,0.0
4,7,3156,7,5,0.570364773273468,0,0,0.0
4,8,3156,7,6,0.570364773273468,0,0,0.0
5,1,3085,7,7,0.31827881932258606,0,0,0.0
5,2,7225,8,8,0.3166242837905884,0,0,0.0
5,3,5753,4,5,0.3165328800678253,2,0,0.1111111111111111
