code,rank,maze_index,center_y,center_x,confidence,original_canonical_pattern_id,decoded_canonical_pattern_id,cell_edit_rate
0,1,725,5,6,0.9858701825141907,0,0,0.0
0,2,7573,5,5,0.9858701825141907,2,0,0.04
0,3,725,6,7,0.9858701825141907,0,0,0.0
0,4,725,7,5,0.9858701825141907,0,0,0.0
0,5,725,7,6,0.9858701825141907,0,0,0.0
0,6,725,7,7,0.9858701825141907,0,0,0.0
0,7,2552,5,5,0.9858701825141907,128,0,0.04
0,8,3156,5,5,0.9858701825141907,0,0,0.0
1,1,725,5,6,0.9817874431610107,0,0,0.0
1,2,7573,5,5,0.9817874431610107,2,0,0.04
1,3,725,6,7,0.9817874431610107,0,0,0.0
1,4,725,7,5,0.9817874431610107,0,0,0.0
1,5,725,7,6,0.9817874431610107,0,0,0.0
1,6,725,7,7,0.9817874431610107,0,0,0.0
1,7,2552,5,5,0.9817874431610107,128,0,0.04
1,8,3156,5,5,0.9817874431610107,0,0,0.0
2,1,725,5,6,0.9881348013877869,0,0,0.0
2,2,7573,5,5,0.9881348013877869,2,0,0.04
2,3,725,6,7,0.9881348013877869,0,0,0.0
2,4,725,7,5,0.9881348013877869,0,0,0.0
2,5,725,7,6,0.9881348013877869,0,0,0.0
2,6,725,7,7,0.9881348013877869,0,0,0.0
2,7,2552,5,5,0.9881348013877869,128,0,0.04
2,8,3156,5,5,0.9881348013877869,0,0,0.0
3,1,3156,5,5,0.9947631359100342,0,0,0.0
3,2,2552,5,5,0.9947631359100342,128,0,0.04
3,3,725,6,5,0.9947631359100342,0,0,0.0
3,4,725,5,7,0.9947631359100342,0,0,0.0
3,5,6105,5,6,0.9947631359100342,0,0,0.0
3,6,6105,5,5,0.9947631359100342,0,0,0.0
3,7,725,5,6,0.9947631359100342,0,0,0.0
3,8,725,5,5,0.9947631359100342,0,0,0.0
4,1,2552,6,6,0.9680975675582886,2,0,0.04
4,2,6105,6,7,0.9680975675582886,0,0,0.0
4,3,3156,5,6,0.9680975675582886,0,0,0.0
4,4,2387,7,6,0.9680975675582886,128,0,0.04
4,5,2387,7,5,0.9680975675582886,64,0,0.04
4,6,2387,6,7,0.9680975675582886,2,0,0.04
4,7,2387,6,6,0.9680975675582886,4,0,0.04
4,8,2387,6,5,0.9680975675582886,2,0,0.04
5,1,725,5,6,0.9415755867958069,0,0,0.0
5,2,7573,5,5,0.9415755867958069,2,0,0.04
5,3,725,6,7,0.9415755867958069,0,0,0.0
5,4,725,7,5,0.9415755867958069,0,0,0.0
5,5,725,7,6,0.9415755867958069,0,0,0.0
