code,count,mean_masked_wall_density,goal_in_mask_rate,agent_in_mask_rate,mean_mask_center_y,mean_mask_center_x
0.0,1398.0,0.1424803283806352,0.18955650810520025,0.17453505051920512,6.485693826525337,5.197424908052699
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,369.0,0.15735095190161935,0.2140921425770938,0.1869918694946824,4.855013605701891,7.757452779992163
8.0,243.0,0.1723251076637472,0.20164609605392803,0.19341564245920612,3.4197531384205133,5.948559778707999
9.0,35.0,0.13392857424914836,0.2857142891202654,0.22857143197740828,5.642857197352818,10.242857142857142
10.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,3.0,0.1875,0.6666666666666666,0.0,1.5,6.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0
