code,count,prob,mean_masked_wall_density,goal_in_mask_rate,agent_in_mask_rate,mean_mask_area,mean_mask_center_y,mean_mask_center_x
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,79.0,0.30859375,0.1909446269273758,0.1139240488409996,0.2531645596027374,28.329113006591797,7.924050807952881,6.297468185424805
3.0,73.0,0.28515625,0.1678454875946045,0.12328767031431198,0.21917808055877686,28.054794311523438,5.636986255645752,5.890410900115967
4.0,48.0,0.1875,0.10604262351989746,0.2083333283662796,0.1666666716337204,34.6875,5.65625,5.291666507720947
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,56.0,0.21875,0.0787549614906311,0.1785714328289032,0.1785714328289032,29.946428298950195,4.9910712242126465,4.714285850524902
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
