model,sigma,solvable_rate,mean_abs_wall_delta,mean_wall_hamming,mean_abs_bfs_delta,mean_abs_path_slack_delta,bfs_up_rate,path_slack_up_rate,mean_bfs_gain,mean_path_slack_gain
vae,0.05,0.976,12.1265,0.2988609467455622,7.3,6.1375,0.331,0.237,3.564,3.5075
vae,0.1,0.9725,12.2755,0.2996479289940828,8.0745,6.7445,0.3525,0.251,4.1785,4.1485
vae,0.25,0.976,13.0545,0.29831065088757397,8.238,6.244,0.395,0.2555,3.411,3.522
vae,0.5,0.968,14.793,0.3001124260355029,10.3525,7.4275,0.465,0.242,4.7235,4.6135
vae,1.0,0.9795,16.888,0.3033195266272189,8.7045,5.5135,0.4225,0.212,2.3945,2.5075
ae,0.05,0.867,11.696,0.09530769230769232,21.738,21.733,0.215,0.215,21.194,21.191
ae,0.1,0.832,11.9495,0.11699704142011835,27.3625,27.3345,0.279,0.276,26.6485,26.6445
ae,0.25,0.768,11.4445,0.19325739644970413,39.1485,38.161,0.4835,0.391,37.1345,36.723
ae,0.5,0.7415,10.967,0.2676568047337278,45.0575,42.422,0.601,0.4465,41.7925,40.682
ae,1.0,0.7765,11.076,0.3252544378698225,40.5285,37.209,0.6415,0.4515,36.8405,35.031
