update,mode,buffer_size,mean_regret_candidates,valid_fraction,mean_buffer_score,time_s
0,es_step,96,0.0000,0.938,0.0000,1.83
1,es_step,128,0.0000,0.812,0.0000,1.71
2,es_step,160,0.0000,0.750,0.0000,1.16
3,es_step,192,0.0000,0.875,0.0000,1.16
4,es_step,224,0.0000,0.625,0.0000,1.71
5,es_step,256,0.0000,0.938,0.0000,1.16
6,es_step,288,0.0000,0.750,0.0000,1.16
7,es_step,320,0.0000,0.875,0.0000,1.17
8,es_step,352,0.0000,0.812,0.0000,1.30
9,es_step,384,0.0000,1.000,0.0000,1.58
10,es_step,416,0.0000,0.875,0.0000,1.16
11,es_step,448,0.0000,0.938,0.0000,1.16
12,es_step,480,0.0000,1.000,0.0000,1.17
13,es_step,512,0.0000,0.938,0.0000,1.16
14,es_step,544,0.0000,0.875,0.0000,1.17
15,es_step,576,0.0000,0.875,0.0000,1.17
16,es_step,608,0.0000,0.875,0.0000,1.17
17,es_step,640,0.0000,0.938,0.0000,1.17
18,es_step,672,0.0000,1.000,0.0000,1.17
19,es_step,704,0.0000,1.000,0.0000,1.17
20,es_step,736,0.0000,1.000,0.0000,1.17
21,es_step,768,0.0000,0.938,0.0000,1.16
22,es_step,800,0.0000,1.000,0.0000,1.17
23,es_step,832,0.0000,1.000,0.0000,1.17
24,es_step,864,0.0000,1.000,0.0000,1.17
25,es_step,896,0.0000,1.000,0.0000,1.17
26,es_step,928,0.0000,1.000,0.0000,1.17
27,es_step,960,0.0000,1.000,0.0000,1.17
28,es_step,992,0.0000,1.000,0.0000,1.17
29,es_step,1024,0.0000,1.000,0.0000,1.34
30,es_step,1056,0.0000,1.000,0.0000,1.17
31,es_step,1088,0.0000,1.000,0.0000,1.17
32,es_step,1120,0.0000,1.000,0.0000,1.17
33,es_step,1152,0.0000,1.000,0.0000,1.17
34,es_step,1184,0.0000,1.000,0.0000,1.17
35,es_step,1216,0.0000,1.000,0.0000,1.17
36,es_step,1248,0.0000,1.000,0.0000,1.17
37,es_step,1280,0.0000,1.000,0.0000,1.17
38,es_step,1312,0.0000,1.000,0.0000,1.17
39,es_step,1344,0.0000,1.000,0.0000,1.17
40,es_step,1376,0.0000,1.000,0.0000,1.17
41,es_step,1408,0.0000,1.000,0.0000,1.17
42,es_step,1440,0.0000,1.000,0.0000,1.17
43,es_step,1472,0.0000,1.000,0.0000,1.17
44,es_step,1504,0.0000,1.000,0.0000,1.17
45,es_step,1536,0.0000,1.000,0.0000,1.17
46,es_step,1568,0.0000,1.000,0.0000,1.17
47,es_step,1600,0.0000,1.000,0.0000,1.17
48,es_step,1632,0.0000,1.000,0.0000,1.17
49,es_step,1664,0.0000,1.000,0.0000,1.17
50,es_step,1696,0.0000,1.000,0.0000,1.17
51,es_step,1728,0.0000,1.000,0.0000,1.17
52,es_step,1760,0.0000,1.000,0.0000,1.28
53,es_step,1792,0.0000,1.000,0.0000,1.17
54,es_step,1824,0.0000,0.812,0.0000,1.17
55,es_step,1856,0.0000,0.688,0.0000,1.91
56,es_step,1888,0.0000,0.938,0.0000,1.16
57,es_step,1920,0.0000,0.875,0.0000,1.16
58,es_step,1952,0.0000,0.812,0.0000,1.17
