update,mode,buffer_size,mean_regret_candidates,valid_fraction,mean_buffer_score,time_s
0,es_step,96,0.0000,0.812,0.0000,1.23
1,es_step,128,0.0000,0.625,0.0000,1.65
2,es_step,160,0.0000,0.750,0.0000,1.10
3,es_step,192,0.0000,0.938,0.0000,1.65
4,es_step,224,0.0000,0.938,0.0000,1.10
5,es_step,256,0.0000,0.875,0.0000,1.65
6,es_step,288,0.0000,1.000,0.0000,1.51
7,es_step,320,0.0000,0.875,0.0000,1.24
8,es_step,352,0.0000,0.875,0.0000,1.10
9,es_step,384,0.0000,1.000,0.0000,1.10
10,es_step,416,0.0000,0.875,0.0000,1.10
11,es_step,448,0.0000,0.875,0.0000,1.10
12,es_step,480,0.0000,1.000,0.0000,1.10
13,es_step,512,0.0000,0.938,0.0000,1.10
14,es_step,544,0.0000,1.000,0.0000,1.10
15,es_step,576,0.0000,1.000,0.0000,1.10
16,es_step,608,0.0000,1.000,0.0000,1.10
17,es_step,640,0.0000,0.875,0.0000,1.10
18,es_step,672,0.0000,0.875,0.0000,1.10
19,es_step,704,0.0000,0.938,0.0000,1.10
20,es_step,736,0.0000,0.875,0.0000,1.10
21,es_step,768,0.0000,0.688,0.0000,1.65
22,es_step,800,0.0000,0.938,0.0000,1.10
23,es_step,832,0.0000,0.938,0.0000,1.10
24,es_step,864,0.0000,0.938,0.0000,1.11
25,es_step,896,0.0000,0.938,0.0000,1.10
26,es_step,928,0.0000,0.812,0.0000,1.10
27,es_step,960,0.0000,0.875,0.0000,1.27
28,es_step,992,0.0000,1.000,0.0000,1.10
29,es_step,1024,0.0000,0.750,0.0000,1.10
30,es_step,1056,0.0000,1.000,0.0000,1.10
31,es_step,1088,0.0000,1.000,0.0000,1.10
32,es_step,1120,0.0000,1.000,0.0000,1.10
33,es_step,1152,0.0000,1.000,0.0000,1.10
34,es_step,1184,0.0000,0.938,0.0000,1.10
35,es_step,1216,0.0000,1.000,0.0000,1.10
36,es_step,1248,0.0000,1.000,0.0000,1.10
37,es_step,1280,0.0000,1.000,0.0000,1.10
38,es_step,1312,0.0000,1.000,0.0000,1.10
39,es_step,1344,0.0000,1.000,0.0000,1.10
40,es_step,1376,0.0000,0.938,0.0000,1.10
41,es_step,1408,0.0000,1.000,0.0000,1.10
42,es_step,1440,0.0000,0.938,0.0000,1.10
43,es_step,1472,0.0000,0.938,0.0000,1.10
44,es_step,1504,0.0000,1.000,0.0000,1.10
45,es_step,1536,0.0000,1.000,0.0000,1.10
46,es_step,1568,0.0000,1.000,0.0000,1.10
47,es_step,1600,0.0000,1.000,0.0000,1.10
48,es_step,1632,0.0000,1.000,0.0000,1.10
49,es_step,1664,0.0000,1.000,0.0000,1.10
50,es_step,1696,0.0000,1.000,0.0000,1.10
51,es_step,1728,0.0000,1.000,0.0000,1.10
52,es_step,1760,0.0000,0.938,0.0000,1.10
53,es_step,1792,0.0000,1.000,0.0000,1.31
54,es_step,1824,0.0000,1.000,0.0000,1.10
55,es_step,1856,0.0000,1.000,0.0000,1.10
56,es_step,1888,0.0000,1.000,0.0000,1.10
57,es_step,1920,0.0000,1.000,0.0000,1.10
58,es_step,1952,0.0000,1.000,0.0000,1.10
59,es_step,1984,0.0000,1.000,0.0000,1.10
60,es_step,2016,0.0000,1.000,0.0000,1.10
61,es_step,2048,0.0000,1.000,0.0000,1.10
62,replay,2048,0.0835,1.000,-0.0004,9.65
63,es_step,2080,0.0000,1.000,-0.0004,1.11
64,es_step,2112,0.0000,1.000,-0.0004,1.10
65,replay,2112,0.1315,1.000,-0.0005,0.69
66,replay,2112,0.0758,1.000,-0.0019,0.59
67,replay,2112,-0.0727,1.000,-0.0022,0.59
68,replay,2112,-0.0103,1.000,-0.0023,0.59
69,replay,2112,0.0361,1.000,-0.0023,0.60
70,replay,2112,-0.0169,1.000,-0.0026,0.60
71,es_step,2144,0.0000,1.000,-0.0025,1.10
