update,mode,buffer_size,mean_regret_candidates,valid_fraction,mean_buffer_score,time_s
0,es_step,128,0.0000,0.656,0.0000,3.57
1,es_step,192,0.0000,0.781,0.0000,2.91
2,es_step,256,0.0000,0.781,0.0000,2.37
3,es_step,320,0.0000,0.844,0.0000,2.91
4,es_step,384,0.0000,0.875,0.0000,3.04
5,es_step,448,0.0000,0.812,0.0000,2.37
6,es_step,512,0.0000,0.938,0.0000,2.91
7,es_step,576,0.0000,0.969,0.0000,2.91
8,es_step,640,0.0000,0.750,0.0000,2.91
9,es_step,704,0.0000,0.781,0.0000,2.37
10,es_step,768,0.0000,0.844,0.0000,2.37
11,es_step,832,0.0000,0.875,0.0000,2.37
12,es_step,896,0.0000,0.938,0.0000,2.37
13,es_step,960,0.0000,0.781,0.0000,2.54
14,es_step,1024,0.0000,0.844,0.0000,2.37
15,es_step,1088,0.0000,0.906,0.0000,2.90
16,es_step,1152,0.0000,0.812,0.0000,2.36
17,es_step,1216,0.0000,0.875,0.0000,2.36
18,es_step,1280,0.0000,0.938,0.0000,2.37
19,es_step,1344,0.0000,0.906,0.0000,2.37
20,es_step,1408,0.0000,0.938,0.0000,2.37
21,es_step,1472,0.0000,0.906,0.0000,2.37
22,es_step,1536,0.0000,0.969,0.0000,2.37
23,es_step,1600,0.0000,1.000,0.0000,2.63
24,es_step,1664,0.0000,0.969,0.0000,2.37
25,es_step,1728,0.0000,1.000,0.0000,2.58
26,es_step,1792,0.0000,0.906,0.0000,2.37
27,es_step,1856,0.0000,1.000,0.0000,2.37
28,es_step,1920,0.0000,0.938,0.0000,2.37
29,es_step,1984,0.0000,1.000,0.0000,2.37
30,es_step,2048,0.0000,1.000,0.0000,2.37
31,replay,2048,-0.0460,1.000,-0.0010,9.46
32,replay,2048,-0.0866,1.000,-0.0013,0.70
33,replay,2048,0.0327,1.000,-0.0016,0.59
34,replay,2048,-0.0203,1.000,-0.0021,0.59
35,replay,2048,0.0551,1.000,-0.0016,0.59
36,replay,2048,0.1924,1.000,-0.0014,0.59
37,replay,2048,0.1525,1.000,-0.0015,0.59
38,replay,2048,0.5082,1.000,-0.0020,0.59
39,es_step,2112,0.0000,1.000,-0.0019,2.37
40,es_step,2176,0.0000,0.969,-0.0019,2.38
41,replay,2176,0.4667,1.000,-0.0022,0.59
42,replay,2176,0.3296,1.000,-0.0033,0.59
43,replay,2176,0.3133,1.000,-0.0035,0.85
44,replay,2176,0.3551,1.000,-0.0046,0.59
45,replay,2176,-0.0706,1.000,-0.0056,0.59
46,es_step,2240,0.0000,1.000,-0.0054,2.37
47,replay,2240,0.1667,1.000,-0.0072,0.59
48,replay,2240,0.3523,1.000,-0.0083,0.59
49,replay,2240,0.1796,1.000,-0.0087,0.59
50,replay,2240,0.1574,1.000,-0.0098,0.59
51,replay,2240,0.3712,1.000,-0.0105,0.59
52,replay,2240,0.2622,1.000,-0.0109,0.59
