update,mode,buffer_size,mean_regret_candidates,valid_fraction,mean_buffer_score,time_s
0,es_step,128,0.0000,0.938,0.0000,3.72
1,es_step,192,0.0000,0.969,0.0000,3.02
2,es_step,256,0.0000,1.000,0.0000,2.78
3,es_step,320,0.0000,0.969,0.0000,2.67
4,es_step,384,0.0000,1.000,0.0000,2.54
5,es_step,448,0.0000,0.938,0.0000,2.53
6,es_step,512,0.0000,1.000,0.0000,2.53
7,es_step,576,0.0000,1.000,0.0000,2.53
8,es_step,640,0.0000,1.000,0.0000,2.53
9,es_step,704,0.0000,1.000,0.0000,2.52
10,es_step,768,0.0000,1.000,0.0000,2.52
11,es_step,832,0.0000,1.000,0.0000,2.52
12,es_step,896,0.0000,1.000,0.0000,2.53
13,es_step,960,0.0000,1.000,0.0000,2.54
14,es_step,1024,0.0000,0.969,0.0000,2.73
15,es_step,1088,0.0000,1.000,0.0000,2.56
16,es_step,1152,0.0000,0.969,0.0000,2.56
17,es_step,1216,0.0000,1.000,0.0000,2.55
18,es_step,1280,0.0000,1.000,0.0000,2.55
19,es_step,1344,0.0000,0.969,0.0000,2.56
20,es_step,1408,0.0000,0.969,0.0000,2.55
21,es_step,1472,0.0000,0.969,0.0000,2.55
22,es_step,1536,0.0000,1.000,0.0000,2.56
23,es_step,1600,0.0000,0.969,0.0000,2.56
24,es_step,1664,0.0000,1.000,0.0000,2.56
25,es_step,1728,0.0000,0.969,0.0000,2.56
26,es_step,1792,0.0000,1.000,0.0000,2.55
27,es_step,1856,0.0000,1.000,0.0000,2.77
28,es_step,1920,0.0000,1.000,0.0000,2.56
29,es_step,1984,0.0000,1.000,0.0000,2.57
30,es_step,2048,0.0000,1.000,0.0000,2.55
31,replay,2048,-0.1049,1.000,-0.0009,8.94
32,replay,2048,0.0164,1.000,-0.0013,0.70
33,replay,2048,-0.0189,1.000,-0.0015,0.60
34,replay,2048,0.0097,1.000,-0.0012,0.60
35,replay,2048,0.0409,1.000,-0.0016,0.60
36,replay,2048,0.0103,1.000,-0.0017,0.60
37,replay,2048,0.0027,1.000,-0.0015,0.70
38,replay,2048,-0.0064,1.000,-0.0018,0.60
39,es_step,2112,0.0000,1.000,-0.0017,2.56
40,es_step,2176,0.0000,1.000,-0.0013,2.56
41,replay,2176,0.0019,1.000,-0.0017,0.60
42,replay,2176,-0.0024,1.000,-0.0018,0.60
43,replay,2176,0.0039,1.000,-0.0018,0.60
44,replay,2176,-0.0038,1.000,-0.0019,0.60
45,replay,2176,-0.0038,1.000,-0.0019,0.60
46,es_step,2240,0.0000,1.000,-0.0018,2.56
47,replay,2240,0.0140,1.000,-0.0017,0.60
48,replay,2240,-0.0045,1.000,-0.0019,0.60
49,replay,2240,0.0455,1.000,-0.0018,0.60
50,replay,2240,-0.0078,1.000,-0.0020,0.60
51,replay,2240,-0.0071,1.000,-0.0020,0.86
52,replay,2240,0.0078,1.000,-0.0019,0.60
53,es_step,2304,0.0000,0.969,-0.0018,2.56
54,es_step,2368,0.0000,0.969,-0.0018,2.55
55,replay,2368,0.0560,1.000,-0.0017,0.60
56,replay,2368,0.0144,1.000,-0.0020,0.60
57,replay,2368,-0.0043,1.000,-0.0019,0.60
58,replay,2368,0.0156,1.000,-0.0020,0.60
59,replay,2368,-0.0087,1.000,-0.0021,0.60
60,replay,2368,0.0320,1.000,-0.0016,0.60
61,replay,2368,0.0561,1.000,-0.0015,0.60
62,es_step,2432,0.0000,1.000,-0.0015,2.65
63,replay,2432,0.0177,1.000,-0.0020,0.60
64,replay,2432,-0.0033,1.000,-0.0022,0.60
65,replay,2432,0.1049,1.000,-0.0022,0.60
66,replay,2432,-0.0149,1.000,-0.0023,0.60
67,replay,2432,-0.0109,1.000,-0.0024,0.60
68,replay,2432,0.0116,1.000,-0.0025,0.72
69,replay,2432,-0.0005,1.000,-0.0024,0.60
70,es_step,2496,0.0000,0.969,-0.0023,2.56
71,es_step,2560,0.0000,0.969,-0.0023,2.55
72,replay,2560,0.0177,1.000,-0.0024,0.60
73,replay,2560,0.0133,1.000,-0.0024,0.60
74,replay,2560,-0.0071,1.000,-0.0025,0.60
75,replay,2560,0.0745,1.000,-0.0023,0.60
76,replay,2560,0.0352,1.000,-0.0026,0.60
77,replay,2560,-0.0182,1.000,-0.0027,0.60
78,replay,2560,0.0148,1.000,-0.0027,0.60
79,replay,2560,0.0347,1.000,-0.0025,0.60
80,replay,2560,0.0043,1.000,-0.0028,0.60
81,replay,2560,0.0401,1.000,-0.0029,0.60
82,replay,2560,-0.0014,1.000,-0.0028,0.60
83,replay,2560,0.0505,1.000,-0.0028,0.60
84,es_step,2624,0.0000,1.000,-0.0027,2.55
85,replay,2624,0.1281,1.000,-0.0028,0.60
86,replay,2624,0.0640,1.000,-0.0032,0.60
87,replay,2624,-0.0218,1.000,-0.0032,0.60
88,replay,2624,0.0073,1.000,-0.0032,0.60
89,replay,2624,0.0366,1.000,-0.0031,0.60
90,replay,2624,-0.0164,1.000,-0.0035,0.60
91,replay,2624,0.0391,1.000,-0.0036,0.60
92,es_step,2688,0.0000,1.000,-0.0035,2.55
93,es_step,2752,0.0000,1.000,-0.0035,2.56
94,replay,2752,0.0327,1.000,-0.0032,0.60
95,replay,2752,-0.0105,1.000,-0.0036,0.60
96,replay,2752,0.0008,1.000,-0.0036,0.60
97,replay,2752,0.0569,1.000,-0.0033,0.60
98,es_step,2816,0.0000,1.000,-0.0033,2.55
99,replay,2816,0.0171,1.000,-0.0035,0.92
100,es_step,2880,0.0000,1.000,-0.0034,2.54
101,replay,2880,0.0116,1.000,-0.0036,0.60
102,replay,2880,0.0456,1.000,-0.0037,0.59
103,es_step,2944,0.0000,1.000,-0.0036,2.53
104,replay,2944,0.0912,1.000,-0.0036,0.59
105,es_step,3008,0.0000,1.000,-0.0036,2.53
106,es_step,3072,0.0000,1.000,-0.0035,2.54
107,replay,3072,0.0179,1.000,-0.0036,0.60
108,replay,3072,-0.0002,1.000,-0.0037,0.60
109,replay,3072,-0.0028,1.000,-0.0038,0.59
110,replay,3072,0.0271,1.000,-0.0038,0.59
111,replay,3072,0.0134,1.000,-0.0038,0.59
112,replay,3072,-0.0109,1.000,-0.0038,0.59
113,replay,3072,0.0564,1.000,-0.0036,0.59
114,es_step,3136,0.0000,1.000,-0.0036,2.52
115,replay,3136,0.0330,1.000,-0.0038,0.60
116,replay,3136,-0.0179,1.000,-0.0038,0.59
117,replay,3136,-0.0088,1.000,-0.0040,0.59
118,replay,3136,0.0133,1.000,-0.0037,0.59
119,replay,3136,0.1209,1.000,-0.0040,0.59
120,replay,3136,0.0035,1.000,-0.0040,0.59
121,replay,3136,0.0543,1.000,-0.0042,0.59
122,replay,3136,0.0330,1.000,-0.0043,0.59
123,replay,3136,-0.0215,1.000,-0.0044,0.59
124,replay,3136,0.0297,1.000,-0.0043,0.59
125,replay,3136,-0.0192,1.000,-0.0045,0.60
126,replay,3136,0.0620,1.000,-0.0039,0.59
127,es_step,3200,0.0000,1.000,-0.0038,2.53
128,es_step,3264,0.0000,1.000,-0.0037,2.53
129,replay,3264,0.0863,1.000,-0.0038,0.60
130,es_step,3328,0.0000,1.000,-0.0037,2.53
131,replay,3328,0.2402,1.000,-0.0037,0.60
132,replay,3328,0.0643,1.000,-0.0038,0.60
133,replay,3328,0.0656,1.000,-0.0038,0.60
134,replay,3328,0.2040,1.000,-0.0041,0.60
135,replay,3328,0.2227,1.000,-0.0046,0.60
136,replay,3328,0.2967,1.000,-0.0048,0.60
137,replay,3328,0.1658,1.000,-0.0053,0.60
138,replay,3328,0.3067,1.000,-0.0053,0.60
139,replay,3328,0.2504,1.000,-0.0058,0.60
140,replay,3328,0.0030,1.000,-0.0066,0.60
141,es_step,3392,0.0000,0.969,-0.0065,2.55
142,replay,3392,0.1759,1.000,-0.0069,0.60
143,replay,3392,0.2952,1.000,-0.0073,0.60
144,replay,3392,0.2939,1.000,-0.0079,0.60
145,es_step,3456,0.0000,1.000,-0.0078,2.56
146,replay,3456,0.4124,1.000,-0.0076,0.60
147,replay,3456,0.1065,1.000,-0.0086,0.60
148,replay,3456,0.0879,1.000,-0.0090,0.60
149,replay,3456,-0.0797,1.000,-0.0097,0.60
150,es_step,3520,0.0000,1.000,-0.0095,2.56
151,replay,3520,0.0672,1.000,-0.0099,0.60
152,replay,3520,0.3868,1.000,-0.0099,0.60
153,replay,3520,0.1039,1.000,-0.0106,0.98
154,replay,3520,0.2508,1.000,-0.0108,0.60
155,replay,3520,0.0810,1.000,-0.0113,0.60
156,replay,3520,0.2901,1.000,-0.0115,0.60
157,replay,3520,0.2319,1.000,-0.0118,0.60
158,replay,3520,0.0710,1.000,-0.0127,0.60
159,replay,3520,0.2552,1.000,-0.0126,0.60
160,replay,3520,0.1307,1.000,-0.0136,0.60
161,replay,3520,-0.1557,1.000,-0.0141,0.60
162,es_step,3584,0.0000,1.000,-0.0139,2.55
163,es_step,3648,0.0000,1.000,-0.0136,2.56
164,replay,3648,0.1700,1.000,-0.0136,0.60
165,replay,3648,0.1214,1.000,-0.0139,0.60
166,replay,3648,-0.0304,1.000,-0.0142,0.60
167,es_step,3712,0.0000,1.000,-0.0140,2.55
168,replay,3712,0.0701,1.000,-0.0140,0.60
169,replay,3712,0.2082,1.000,-0.0142,0.60
170,replay,3712,0.0982,1.000,-0.0143,0.60
171,replay,3712,0.1052,1.000,-0.0143,0.60
172,replay,3712,0.1474,1.000,-0.0142,0.60
173,replay,3712,0.3047,1.000,-0.0144,0.60
174,replay,3712,-0.0065,1.000,-0.0152,0.60
175,replay,3712,0.2224,1.000,-0.0153,0.60
176,replay,3712,0.1614,1.000,-0.0154,0.60
