update,mode,buffer_size,mean_regret_candidates,valid_fraction,mean_buffer_score,time_s
0,es_step,128,0.0000,0.812,0.0000,3.27
1,es_step,192,0.0000,0.906,0.0000,3.66
2,es_step,256,0.0000,0.844,0.0000,3.09
3,es_step,320,0.0000,0.906,0.0000,2.55
4,es_step,384,0.0000,0.906,0.0000,2.69
5,es_step,448,0.0000,0.906,0.0000,2.55
6,es_step,512,0.0000,0.969,0.0000,3.09
7,es_step,576,0.0000,0.969,0.0000,2.54
8,es_step,640,0.0000,0.969,0.0000,2.54
9,es_step,704,0.0000,0.906,0.0000,3.10
10,es_step,768,0.0000,0.906,0.0000,2.54
11,es_step,832,0.0000,0.875,0.0000,2.54
12,es_step,896,0.0000,0.969,0.0000,2.81
13,es_step,960,0.0000,0.906,0.0000,2.71
14,es_step,1024,0.0000,0.938,0.0000,2.54
15,es_step,1088,0.0000,0.938,0.0000,2.53
16,es_step,1152,0.0000,0.938,0.0000,2.54
17,es_step,1216,0.0000,0.906,0.0000,2.53
18,es_step,1280,0.0000,0.969,0.0000,2.53
19,es_step,1344,0.0000,0.875,0.0000,2.54
20,es_step,1408,0.0000,0.875,0.0000,2.53
21,es_step,1472,0.0000,1.000,0.0000,2.54
22,es_step,1536,0.0000,0.938,0.0000,2.53
23,es_step,1600,0.0000,0.938,0.0000,2.53
24,es_step,1664,0.0000,1.000,0.0000,2.53
25,es_step,1728,0.0000,0.812,0.0000,2.53
26,es_step,1792,0.0000,0.875,0.0000,2.53
27,es_step,1856,0.0000,0.969,0.0000,2.74
28,es_step,1920,0.0000,0.875,0.0000,2.53
29,es_step,1984,0.0000,0.969,0.0000,2.53
30,es_step,2048,0.0000,0.969,0.0000,2.54
31,replay,2048,-0.0144,1.000,-0.0005,9.26
32,replay,2048,-0.0504,1.000,-0.0015,0.71
33,replay,2048,-0.0487,1.000,-0.0020,0.61
34,replay,2048,0.0080,1.000,-0.0016,0.61
35,replay,2048,0.0450,1.000,-0.0023,0.60
36,replay,2048,0.0060,1.000,-0.0024,0.60
37,replay,2048,-0.0195,1.000,-0.0024,0.61
38,replay,2048,0.0359,1.000,-0.0019,0.60
39,es_step,2112,0.0000,0.938,-0.0018,2.54
40,es_step,2176,0.0000,0.969,-0.0018,2.54
41,replay,2176,0.0215,1.000,-0.0020,0.61
42,replay,2176,0.1358,1.000,-0.0019,0.61
43,replay,2176,0.2324,1.000,-0.0024,0.60
44,replay,2176,0.1361,1.000,-0.0028,0.60
45,replay,2176,0.0426,1.000,-0.0035,0.61
46,es_step,2240,0.0000,0.969,-0.0034,2.53
47,replay,2240,0.0134,1.000,-0.0031,0.61
48,replay,2240,0.2265,1.000,-0.0034,0.60
49,replay,2240,0.1551,1.000,-0.0035,0.86
50,replay,2240,-0.0338,1.000,-0.0042,0.60
51,replay,2240,0.1290,1.000,-0.0038,0.60
52,replay,2240,0.1275,1.000,-0.0039,0.60
53,es_step,2304,0.0000,0.875,-0.0038,2.53
54,es_step,2368,0.0000,0.969,-0.0037,2.54
55,replay,2368,0.0816,1.000,-0.0047,0.61
56,replay,2368,0.0825,1.000,-0.0051,0.60
57,replay,2368,0.0785,1.000,-0.0058,0.60
58,replay,2368,-0.0565,1.000,-0.0061,0.60
59,replay,2368,0.0504,1.000,-0.0056,0.60
60,replay,2368,0.1165,1.000,-0.0065,0.60
61,replay,2368,0.0518,1.000,-0.0067,0.60
62,es_step,2432,0.0000,0.938,-0.0065,2.53
63,replay,2432,0.1569,1.000,-0.0066,0.61
64,replay,2432,0.0482,1.000,-0.0064,0.60
65,replay,2432,0.0638,1.000,-0.0061,0.61
66,replay,2432,0.1247,1.000,-0.0066,0.61
67,replay,2432,0.1757,1.000,-0.0066,0.60
68,replay,2432,0.0888,1.000,-0.0071,0.60
69,replay,2432,0.1449,1.000,-0.0080,0.60
70,es_step,2496,0.0000,1.000,-0.0078,2.52
71,es_step,2560,0.0000,1.000,-0.0076,2.53
72,replay,2560,0.0697,1.000,-0.0081,0.61
73,replay,2560,0.2312,1.000,-0.0083,0.61
74,replay,2560,0.1259,1.000,-0.0080,0.60
75,replay,2560,-0.0281,1.000,-0.0092,0.60
76,replay,2560,0.0940,1.000,-0.0092,0.60
77,replay,2560,0.0983,1.000,-0.0099,0.60
78,replay,2560,-0.0387,1.000,-0.0104,0.60
79,replay,2560,0.0384,1.000,-0.0101,0.60
80,replay,2560,0.1038,1.000,-0.0106,0.60
81,replay,2560,0.0606,1.000,-0.0107,0.60
82,replay,2560,0.0102,1.000,-0.0108,0.60
83,replay,2560,-0.0415,1.000,-0.0112,0.60
84,es_step,2624,0.0000,0.969,-0.0109,2.53
85,replay,2624,0.0013,1.000,-0.0109,0.60
