update,mode,buffer_size,mean_regret_candidates,valid_fraction,mean_buffer_score,time_s
0,es_step,96,0.0000,1.000,0.0000,1.72
1,es_step,128,0.0000,0.875,0.0000,1.73
2,es_step,160,0.0000,0.812,0.0000,1.73
3,es_step,192,0.0000,0.750,0.0000,1.59
4,es_step,224,0.0000,0.875,0.0000,1.19
5,es_step,256,0.0000,0.812,0.0000,1.19
6,es_step,288,0.0000,0.750,0.0000,1.19
7,es_step,320,0.0000,0.750,0.0000,1.33
8,es_step,352,0.0000,0.750,0.0000,1.19
9,es_step,384,0.0000,0.875,0.0000,1.19
10,es_step,416,0.0000,0.938,0.0000,1.74
11,es_step,448,0.0000,0.750,0.0000,1.19
12,es_step,480,0.0000,0.938,0.0000,1.19
13,es_step,512,0.0000,0.812,0.0000,1.19
14,es_step,544,0.0000,0.875,0.0000,1.19
15,es_step,576,0.0000,0.875,0.0000,1.19
16,es_step,608,0.0000,1.000,0.0000,1.19
17,es_step,640,0.0000,0.938,0.0000,1.19
18,es_step,672,0.0000,0.938,0.0000,1.19
19,es_step,704,0.0000,0.938,0.0000,1.19
20,es_step,736,0.0000,0.875,0.0000,1.19
21,es_step,768,0.0000,0.938,0.0000,1.19
22,es_step,800,0.0000,0.938,0.0000,1.19
23,es_step,832,0.0000,0.938,0.0000,1.19
24,es_step,864,0.0000,0.938,0.0000,1.19
25,es_step,896,0.0000,1.000,0.0000,1.19
26,es_step,928,0.0000,1.000,0.0000,1.19
27,es_step,960,0.0000,1.000,0.0000,1.19
28,es_step,992,0.0000,1.000,0.0000,1.35
29,es_step,1024,0.0000,1.000,0.0000,1.19
30,es_step,1056,0.0000,1.000,0.0000,1.19
31,es_step,1088,0.0000,1.000,0.0000,1.19
32,es_step,1120,0.0000,1.000,0.0000,1.19
33,es_step,1152,0.0000,1.000,0.0000,1.19
34,es_step,1184,0.0000,1.000,0.0000,1.19
35,es_step,1216,0.0000,1.000,0.0000,1.19
36,es_step,1248,0.0000,1.000,0.0000,1.19
37,es_step,1280,0.0000,1.000,0.0000,1.19
38,es_step,1312,0.0000,1.000,0.0000,1.19
39,es_step,1344,0.0000,1.000,0.0000,1.18
40,es_step,1376,0.0000,1.000,0.0000,1.19
41,es_step,1408,0.0000,1.000,0.0000,1.19
42,es_step,1440,0.0000,1.000,0.0000,1.19
43,es_step,1472,0.0000,1.000,0.0000,1.19
44,es_step,1504,0.0000,1.000,0.0000,1.19
45,es_step,1536,0.0000,1.000,0.0000,1.19
46,es_step,1568,0.0000,1.000,0.0000,1.19
47,es_step,1600,0.0000,1.000,0.0000,1.19
48,es_step,1632,0.0000,1.000,0.0000,1.19
49,es_step,1664,0.0000,1.000,0.0000,1.19
50,es_step,1696,0.0000,1.000,0.0000,1.19
51,es_step,1728,0.0000,1.000,0.0000,1.19
