update,mode,buffer_size,mean_regret_candidates,valid_fraction,mean_buffer_score,time_s
0,es_step,96,0.0000,0.812,0.0000,1.85
1,es_step,128,0.0000,0.938,0.0000,1.71
2,es_step,160,0.0000,0.750,0.0000,1.70
3,es_step,192,0.0000,0.875,0.0000,1.17
4,es_step,224,0.0000,0.938,0.0000,1.17
5,es_step,256,0.0000,0.875,0.0000,1.17
6,es_step,288,0.0000,1.000,0.0000,1.58
7,es_step,320,0.0000,0.750,0.0000,1.30
8,es_step,352,0.0000,0.688,0.0000,1.17
9,es_step,384,0.0000,0.812,0.0000,1.17
10,es_step,416,0.0000,1.000,0.0000,1.17
11,es_step,448,0.0000,0.812,0.0000,1.17
12,es_step,480,0.0000,0.875,0.0000,1.17
13,es_step,512,0.0000,0.875,0.0000,1.17
14,es_step,544,0.0000,0.875,0.0000,1.18
15,es_step,576,0.0000,0.562,0.0000,1.58
16,es_step,608,0.0000,0.938,0.0000,1.17
17,es_step,640,0.0000,0.812,0.0000,1.17
18,es_step,672,0.0000,0.750,0.0000,1.17
19,es_step,704,0.0000,0.750,0.0000,1.17
20,es_step,736,0.0000,1.000,0.0000,1.17
21,es_step,768,0.0000,0.625,0.0000,1.71
22,es_step,800,0.0000,0.875,0.0000,1.16
23,es_step,832,0.0000,0.812,0.0000,1.17
24,es_step,864,0.0000,0.750,0.0000,1.17
25,es_step,896,0.0000,0.625,0.0000,1.17
26,es_step,928,0.0000,0.812,0.0000,1.17
27,es_step,960,0.0000,0.750,0.0000,1.34
28,es_step,992,0.0000,0.688,0.0000,1.17
29,es_step,1024,0.0000,0.500,0.0000,1.57
30,es_step,1056,0.0000,0.688,0.0000,1.16
31,es_step,1088,0.0000,0.812,0.0000,1.17
32,es_step,1120,0.0000,0.625,0.0000,1.17
33,es_step,1152,0.0000,0.688,0.0000,1.17
34,es_step,1184,0.0000,0.500,0.0000,1.17
35,es_step,1216,0.0000,0.875,0.0000,1.17
36,es_step,1248,0.0000,0.750,0.0000,1.17
37,es_step,1280,0.0000,0.688,0.0000,1.17
38,es_step,1312,0.0000,0.750,0.0000,1.17
39,es_step,1344,0.0000,0.750,0.0000,1.17
40,es_step,1376,0.0000,0.938,0.0000,1.17
41,es_step,1408,0.0000,1.000,0.0000,1.17
42,es_step,1440,0.0000,0.938,0.0000,1.17
43,es_step,1472,0.0000,0.938,0.0000,1.17
44,es_step,1504,0.0000,1.000,0.0000,1.17
