update,mode,buffer_size,mean_regret_candidates,valid_fraction,mean_buffer_score,time_s
0,es_step,128,0.0000,0.875,0.0161,4.24
1,es_step,192,0.0000,0.781,0.0107,3.00
2,es_step,256,0.0000,0.656,0.0080,3.55
3,es_step,320,0.0000,0.844,0.0131,3.14
4,es_step,384,0.0000,0.781,0.0109,2.46
5,es_step,448,0.0000,0.750,0.0094,3.01
6,es_step,512,0.0000,0.781,0.0082,2.46
7,es_step,576,0.0000,0.781,0.0092,2.47
8,es_step,640,0.0000,0.750,0.0082,2.47
9,es_step,704,0.0000,0.875,0.0090,2.47
10,es_step,768,0.1242,0.781,0.0164,2.47
11,es_step,832,0.0000,0.844,0.0151,2.47
12,es_step,896,0.0000,0.969,0.0140,3.18
13,es_step,960,0.0384,0.844,0.0153,2.47
14,es_step,1024,0.0414,0.781,0.0153,2.46
15,es_step,1088,0.0000,0.969,0.0154,2.46
16,es_step,1152,0.0000,0.781,0.0145,2.47
17,es_step,1216,0.0347,0.969,0.0164,2.47
18,es_step,1280,0.0000,0.938,0.0155,3.02
19,es_step,1344,0.1050,0.938,0.0171,2.46
20,es_step,1408,0.1132,0.875,0.0217,2.47
21,es_step,1472,0.0000,0.875,0.0214,2.46
22,es_step,1536,0.0368,0.906,0.0226,2.46
23,es_step,1600,0.0000,0.969,0.0224,2.47
24,es_step,1664,0.0349,0.938,0.0228,2.68
25,es_step,1728,0.0746,0.875,0.0231,2.47
26,es_step,1792,0.0349,0.938,0.0247,2.47
27,es_step,1856,0.0660,1.000,0.0267,2.74
28,es_step,1920,0.2033,0.969,0.0329,2.46
29,es_step,1984,0.1015,0.969,0.0350,2.47
30,es_step,2048,0.1351,0.969,0.0370,2.46
31,replay,2048,0.0944,1.000,0.0357,9.47
32,replay,2048,0.0905,1.000,0.0338,0.70
33,replay,2048,0.0500,1.000,0.0331,0.60
34,replay,2048,0.1114,1.000,0.0325,0.60
35,replay,2048,0.0082,1.000,0.0294,0.60
36,replay,2048,0.1444,1.000,0.0283,0.59
37,es_step,2112,0.0696,0.875,0.0298,2.47
38,es_step,2176,0.0937,0.969,0.0311,2.73
39,replay,2176,0.0485,1.000,0.0300,0.60
40,replay,2176,-0.0229,1.000,0.0282,0.60
41,replay,2176,0.0243,1.000,0.0268,0.60
42,es_step,2240,0.0000,1.000,0.0269,2.47
43,es_step,2304,0.0304,1.000,0.0274,2.48
44,replay,2304,0.0595,1.000,0.0263,0.60
45,replay,2304,0.0391,1.000,0.0248,0.60
46,replay,2304,0.0737,1.000,0.0238,0.60
47,replay,2304,0.0582,1.000,0.0236,0.60
48,replay,2304,0.1098,1.000,0.0223,0.59
49,replay,2304,-0.0020,1.000,0.0208,0.60
50,es_step,2368,0.0587,1.000,0.0226,2.46
51,replay,2368,-0.0010,1.000,0.0211,0.60
52,replay,2368,0.0239,1.000,0.0207,0.60
53,replay,2368,0.0058,1.000,0.0195,0.59
54,es_step,2432,0.0899,1.000,0.0214,2.46
55,es_step,2496,0.1490,1.000,0.0243,2.46
56,es_step,2560,0.0888,1.000,0.0251,2.46
57,replay,2560,0.0192,1.000,0.0243,0.60
58,replay,2560,0.0226,1.000,0.0227,0.59
59,es_step,2624,0.0308,0.969,0.0236,2.46
60,replay,2624,0.0507,1.000,0.0225,0.60
61,replay,2624,0.0725,1.000,0.0218,0.60
62,replay,2624,0.0440,1.000,0.0210,0.59
63,replay,2624,0.0388,1.000,0.0197,0.60
64,replay,2624,0.0217,1.000,0.0186,0.59
65,replay,2624,0.2436,1.000,0.0177,0.59
66,replay,2624,0.0305,1.000,0.0170,0.59
67,replay,2624,0.0455,1.000,0.0162,0.60
68,replay,2624,0.0591,1.000,0.0156,0.60
69,replay,2624,-0.0220,1.000,0.0147,0.60
70,es_step,2688,0.0865,1.000,0.0178,2.46
