update,mode,archive_filled,buffer_size,mean_regret_candidates,valid_fraction,mean_buffer_score,time_s
0,new,10,96,0.0000,0.750,0.0000,12.69
1,new,14,160,0.0000,0.750,0.0000,2.93
2,new,20,224,0.0000,0.938,0.0000,2.45
3,new,24,288,0.0000,0.812,0.0000,2.44
4,new,27,352,0.0000,0.812,0.0000,2.44
5,new,28,416,0.0000,0.750,0.0000,2.44
6,new,29,480,0.0000,0.875,0.0000,2.43
7,new,30,544,0.0000,0.938,0.0000,2.45
8,new,33,608,0.0000,0.875,0.0000,2.46
9,new,35,672,0.0000,0.938,0.0000,2.47
10,new,36,736,0.0000,0.688,0.0000,2.46
11,new,37,800,0.0000,0.875,0.0000,2.46
12,new,37,864,0.0000,0.812,0.0000,2.47
13,new,37,928,0.0000,0.688,0.0000,2.65
14,new,37,992,0.0000,0.938,0.0000,2.46
15,new,37,1056,0.0000,0.875,0.0000,2.46
16,new,37,1120,0.0000,0.875,0.0000,2.46
17,new,38,1184,0.0000,0.812,0.0000,2.46
18,new,38,1248,0.0000,0.812,0.0000,2.47
19,new,39,1312,0.0000,0.875,0.0000,2.46
20,new,39,1376,0.0000,0.875,0.0000,2.46
21,new,39,1440,0.0000,0.688,0.0000,2.46
22,new,39,1504,0.0000,0.750,0.0000,2.46
23,new,39,1568,0.0000,0.812,0.0000,2.46
24,new,39,1632,0.0000,0.750,0.0000,2.46
25,new,39,1696,0.0000,0.875,0.0000,2.46
26,new,39,1760,0.0000,0.625,0.0000,2.47
27,new,39,1824,0.0000,0.875,0.0000,2.66
28,new,39,1888,0.0000,0.750,0.0000,2.46
29,new,39,1952,0.0000,0.812,0.0000,2.46
30,new,39,2016,0.0000,0.812,0.0000,2.46
31,replay,39,2016,-0.0781,1.000,0.0005,9.51
32,mutate,39,2080,0.0000,0.719,0.0005,2.49
33,replay,39,2080,0.4725,1.000,0.0015,0.70
34,mutate,39,2144,0.0000,0.125,0.0015,2.46
35,replay,39,2144,0.6202,1.000,0.0044,0.60
36,mutate,39,2208,0.0000,0.156,0.0043,2.46
37,replay,39,2208,0.5427,1.000,0.0051,0.60
38,mutate,39,2272,0.0000,0.562,0.0050,2.46
39,replay,39,2272,0.4189,1.000,0.0054,0.60
40,mutate,39,2336,0.0000,0.250,0.0052,2.46
41,replay,39,2336,0.3697,1.000,0.0054,0.84
42,mutate,39,2400,0.0000,0.188,0.0052,2.46
43,replay,39,2400,0.2246,1.000,0.0050,0.59
44,mutate,39,2464,0.0000,0.219,0.0048,2.46
45,replay,39,2464,0.4305,1.000,0.0055,0.59
46,mutate,39,2528,0.0000,0.438,0.0053,2.46
47,replay,39,2528,0.5027,1.000,0.0056,0.60
48,mutate,39,2592,0.0000,0.062,0.0054,2.46
49,new,39,2656,0.0000,0.875,0.0053,2.46
50,replay,39,2656,0.4225,1.000,0.0058,0.59
51,mutate,39,2720,0.0000,0.062,0.0057,2.46
52,replay,39,2720,0.1641,1.000,0.0059,0.59
53,mutate,39,2784,0.1264,0.219,0.0061,2.45
54,new,39,2848,0.0000,0.875,0.0059,2.47
55,replay,39,2848,-0.0239,1.000,0.0058,0.59
56,mutate,40,2912,0.0000,0.625,0.0056,2.46
57,replay,40,2912,0.4040,1.000,0.0053,0.59
58,mutate,40,2976,0.0000,0.719,0.0052,2.46
59,replay,40,2976,0.4362,1.000,0.0055,0.60
60,mutate,41,3040,0.0000,0.750,0.0053,2.46
61,new,41,3104,0.0000,0.812,0.0052,2.46
62,replay,41,3104,0.5672,1.000,0.0061,0.59
63,mutate,41,3168,0.0502,0.500,0.0062,2.46
64,replay,41,3168,0.3508,1.000,0.0059,0.60
65,mutate,41,3232,0.1199,0.188,0.0060,2.46
